region_code,number_prefix,is_geographic,is_mobile,is_satellite
AR,549261591,0,1,0
AR,5492346513,0,1,0
AR,549264405,0,1,0
AR,5492394445,0,1,0
AR,5492254536,0,1,0
AR,5492474448,0,1,0
AR,5492302478,0,1,0
AR,54112001,0,1,0
AR,5492281323,0,1,0
AR,5492364205,0,1,0
AR,5492267405,0,1,0
AR,5492651413,0,1,0
AR,542374290,0,1,0
AR,5492652733,0,1,0
AR,5492241507,0,1,0
AR,549221567,0,1,0
AR,5492257527,0,1,0
AR,5492914603,0,1,0
AR,5492478474,0,1,0
AR,549115601,0,1,0
AR,5492291453,0,1,0
AR,5492324470,0,1,0
AR,5492396412,0,1,0
AR,5492344443,0,1,0
AR,5492334425,0,1,0
AR,549223535,0,1,0
AR,5493442652,0,1,0
AR,5492324461,0,1,0
AR,549262762,0,1,0
AR,549116818,0,1,0
AR,5492477311,0,1,0
AR,549221620,0,1,0
AR,5492358423,0,1,0
AR,5492355413,0,1,0
AR,5492625459,0,1,0
AR,5492325406,0,1,0
AR,5492266416,0,1,0
AR,549231740,0,1,0
AR,5492345477,0,1,0
AR,5493455443,0,1,0
AR,5492281411,0,1,0
AR,54911668,0,1,0
AR,5492392579,0,1,0
AR,5492622516,0,1,0
AR,5492267434,0,1,0
AR,5492344438,0,1,0
AR,549114471,0,1,0
AR,5492392539,0,1,0
AR,5492604647,0,1,0
AR,549115900,0,1,0
AR,5492333413,0,1,0
AR,5492474552,0,1,0
AR,5492494573,0,1,0
AR,5492323460,0,1,0
AR,5492353407,0,1,0
AR,549342427,0,1,0
AR,5492317525,0,1,0
AR,5492656409,0,1,0
AR,549115336,0,1,0
AR,549266425,0,1,0
